,t_stat,p_val
"[3,26]",-0.010219958677480115,0.9918464439467561
"[3,27]",-0.5004031883976092,0.6168262778794547
"[3,28]",0.041668744461580004,0.9667654198487503
"[3,29]",0.29850766713554105,0.765335477077442
"[3,30]",0.8815907516393228,0.3780656351481091
"[3,31]",-0.20329809226161985,0.8389152193952575
"[3,32]",-0.26868532853539134,0.7881894940112306
"[3,33]",-0.5635338442046793,0.573111661177973
"[3,34]",-0.2796050080678924,0.7797989802596426
"[3,35]",0.10691341561832388,0.9148645000469828
"[3,36]",-0.6203388195677373,0.5350797604186383
"[3,37]",4.084164780960065,4.534050978644347e-05
"[3,38]",4.919093550616459,9.141819387737527e-07
"[3,39]",1.0676581621147372,0.2857568128986829
"[3,40]",0.057324673291161296,0.9542902136432798
"[3,41]",0.38729458457198745,0.6985643822956105
"[3,42]",-1.137266575806116,0.25551363862795046
"[3,43]",-0.8859148324790792,0.37573126254334455
"[3,44]",1.1542205381020183,0.2484976026843774
"[3,45]",1.0344794890611129,0.30099172404548163
"[3,46]",1.4982835652867086,0.13416011116486487
"[3,47]",0.13306111045309105,0.8941535772735855
"[3,48]",0.0916208212829168,0.9270051523681732
"[3,49]",-4.543004535094577,5.754758303987694e-06
"[3,50]",-1.2321855018835521,0.2179720555920622
"[3,51]",0.31165741348170445,0.7553215868290479
"[3,52]",2.6276333073101505,0.008639950723291422
"[3,53]",-1.9256373786373322,0.05423986928543055
